Code,Move
1721,Impose restrictions on political freedoms
1722,Ban political parties or politicians
1723,Impose curfew
1724,Impose state of emergency or martial law
173,Arrest
174,Expel or deport individuals
175,Use tactics of violence repression
176,Attack cybernetically
180,Use unconvenitional violence
181,Abduct
182,Physically assault
1821,Sexually assault
1822,Torture
1823,Kill by phsyical assault
183,Conduct suicide
1830,Conduct cyber attack
1831,Carry out suicide bombing
1832,Carry out vehicular bombing
1833,Carry out roadside bombing
1834,Carry out location bombing
184,Use as a human shield
185,Attempt to assassinate
186,Assassinate
190,Use conventional violence
191,Impose blockade
192,Occupy territory
193,Fight with small arms and light weapons
194,Fight with artillery tanks
195,Employ aerial weapons
1951,Employ precision-guided aerial munitions
1952,Employ remotely piloted aerial munitions
196,Violate ceasefire
200,Use unconventional mass violence
201,Engage in mass expulsion
202,Engage in mass killings
203,Engage in ethnic cleansing
204,Use weapons of mass destruction
2041,Use chemical
2042,Detonate nuclear weapons
2043,Build a religious following
2044,Build an ethno-political following
2045,Build an internet following
2046,Increase censorship
2047,Reduce information outlets
2048,Build energy infrastructure (unspecified)
2052,Build social infrastructure (unspecified)
2057,Build political infrastructure (unspecified)
2061,Build military infrastructure (unspecified)
2065,Build/increase information infrastructure (unspecified)
2068,Build/increase economic infrastructure (unspecified)
2074,Gather/mine natural resources (unspecified)
2077,Raise oil prices
2078,Lower oil prices
2079,Raise energy prices
2080,Lower energy prices
2081,Raise energy prices
2082,Spend more government funds on alternative energy
2083,Spend less government funds on alternative energy
