sentiment             ,verbs                                                         ,edges
-0.875                ,"meet,kill"                                                   ,"('Hezbollah', 'Qods Force')"
0.2023                ,"describe,know,become"                                        ,"('Hezbollah', 'Syria')"
0.2732                ,exist                                                         ,"('Hezbollah', 'Tehran')"
0.2732                ,exist                                                         ,"('Hezbollah', 'the Islamic Republic')"
0.3818                ,write                                                         ,"('Hezbollah', 'the Museum for Resistance')"
-0.875                ,"meet,kill"                                                   ,"('Hezbollah', 'the Qods Force')"
0.0                   ,                                                              ,"('Hezbollah -', 'Lebanon')"
0.0                   ,                                                              ,"('IDF', 'Lebanon')"
0.0                   ,cover                                                         ,"('IS', 'Iraq')"
0.4404                ,"pull,prevent"                                                ,"('ISIS', 'Baath [Party')"
0.4404                ,"pull,prevent"                                                ,"('ISIS', 'ISIS')"
0.4404                ,"pull,prevent"                                                ,"('ISIS', 'al-Qaeda')"
0.3612                ,"do,use,try"                                                  ,"('Iran', 'Iran')"
-0.14363333333333334  ,"stop,break,give,increase,fight,move,look,occur"              ,"('Iran', 'Iraq')"
-0.1779               ,"lead,say"                                                    ,"('Iran', 'Mosul')"
-0.4939               ,"confront,inflict"                                            ,"('Iran', 'North Korea')"
-0.296                ,break                                                         ,"('Iran', 'Qasem Soleimani')"
-0.3612               ,"fight,give"                                                  ,"('Iran', 'Soleimani')"
-0.296                ,break                                                         ,"('Iran', 'the Qods Force')"
0.5719                ,collect                                                       ,"('Iraq', 'Hezbollah')"
0.5719                ,collect                                                       ,"('Iraq', 'ISIS')"
-0.296                ,"take,end"                                                    ,"('Iraq', 'Iraq')"
0.46655               ,",collect"                                                    ,"('Iraq', 'Lebanon')"
-0.296                ,"take,end"                                                    ,"('Iraq', 'Mosul')"
0.5719                ,collect                                                       ,"('Israel', 'Hezbollah')"
0.5719                ,collect                                                       ,"('Israel', 'ISIS')"
0.5719                ,collect                                                       ,"('Israel', 'Lebanon')"
-0.3182               ,"exist,fight"                                                 ,"('Kataib', 'Iraq')"
0.8074                ,"take,accomplish"                                             ,"('Kataib Huzballa-lraq', 'Army')"
0.8074                ,"take,accomplish"                                             ,"('Kataib Huzballa-lraq', 'Asaib Ahl al-Haq')"
0.39385               ,",make"                                                       ,"('Khamenei', 'Abadi')"
0.128                 ,                                                              ,"('Khamenei', 'Daesh')"
0.26256666666666667   ,",make"                                                       ,"('Khamenei', 'Iraq')"
0.13639999999999997   ,"take,fight,make"                                             ,"('Khamenei', 'Tehran')"
-0.12945              ,"take,,fight"                                                 ,"('Khamenei', 'the Islamic State')"
-0.3869               ,"take,fight"                                                  ,"('Khamenei', 'the United States')"
0.5106                ,do                                                            ,"('Khazaili', 'the Mahdi Army')"
0.0                   ,"attend,treat"                                                ,"('Latif', 'Iraq')"
0.6486                ,"seem,do"                                                     ,"('Latif', 'Soleimani')"
0.6369                ,pave                                                          ,"('Libya', 'Iraq')"
-0.3818               ,"lay,participate,call,threaten"                               ,"('Macron', 'France')"
0.14613333333333334   ,"organize,provide,do,use,try,want"                            ,"('Macron', 'Iran')"
0.6369                ,pave                                                          ,"('Macron', 'Iraq')"
0.7003                ,                                                              ,"('Macron', 'New York')"
-0.4939               ,"confront,inflict"                                            ,"('Macron', 'North Korea')"
0.1027                ,lead                                                          ,"('Macron', 'Russia')"
0.1027                ,want                                                          ,"('Macron', 'State')"
0.1027                ,want                                                          ,"('Macron', 'Trump')"
-0.3818               ,"lay,participate,call,threaten"                               ,"('Macron', 'Washington')"
-0.3818               ,"lay,participate,call,threaten"                               ,"('Macron', 'the U.N. Security Council')"
0.5574                ,"hold,eliminate,rule"                                         ,"('Macron', 'the United States')"
0.3612                ,"listen,say,call"                                             ,"('Moscow', 'Baghdad')"
-0.296                ,"run,see,happen,provide"                                      ,"('Moscow', 'Iraq')"
-0.296                ,"run,see,happen,provide"                                      ,"('Moscow', 'the Russian Defense Minister')"
-0.2679333333333333   ,"destroy,run,bolster"                                         ,"('Mughniyeh', 'Iraq')"
0.34                  ,bolster                                                       ,"('Mughniyeh', 'Saddam Hussein')"
0.296                 ,"take,prevent"                                                ,"('Muhandis', 'Ali Khamenei')"
0.24663333333333334   ,"accuse,take,express,prevent,collect"                         ,"('Muhandis', 'Hezbollah')"
0.22194999999999998   ,"express,accuse,collect"                                      ,"('Muhandis', 'ISIS')"
0.19987499999999997   ,"accuse,end,take,express,promote,run,continue,receive,protect","('Muhandis', 'Iraq')"
-0.2732               ,"suffer,protect,liberate"                                     ,"('Muhandis', 'Islamic Revolutionary Guard Corps')"
0.802                 ,"continue,receive,protect"                                    ,"('Muhandis', 'Kataib Hezbollah')"
0.5719                ,collect                                                       ,"('Muhandis', 'Lebanon')"
-0.318                ,",end,take"                                                   ,"('Muhandis', 'Mosul')"
-0.1568               ,"fight,promote,run"                                           ,"('Muhandis', 'PMF')"
-0.2732               ,"suffer,protect,liberate"                                     ,"('Muhandis', 'Qassem Soleimani')"
0.4404                ,"pull,prevent"                                                ,"('PMF', 'Baath [Party')"
0.2023                ,"take,should,unify"                                           ,"('PMF', 'Bashar al-Assad')"
0.21423333333333336   ,"should,unify,take,pull,prevent,use"                          ,"('PMF', 'ISIS')"
-0.17                 ,",use"                                                        ,"('PMF', 'Mosul')"
0.2023                ,"take,should,unify"                                           ,"('PMF', 'Syria')"
0.2732                ,exist                                                         ,"('PMF', 'Tehran')"
0.4404                ,"pull,prevent"                                                ,"('PMF', 'al-Qaeda')"
0.2732                ,exist                                                         ,"('PMF', 'the Islamic Republic')"
0.0516                ,return                                                        ,"('PMF', 'the United States')"
-0.4215               ,"weaken,oust,use"                                             ,"('Paris', 'Geneva')"
-0.4215               ,"weaken,oust,use"                                             ,"('Paris', 'Syria')"
-0.765                ,                                                              ,"('Popular Mobilization Forces', 'Hezbollah in Iraq')"
-0.765                ,                                                              ,"('Popular Mobilization Forces', 'Iraq')"
0.5106                ,do                                                            ,"('Qaibi', 'the Mahdi Army')"
0.1531                ,launch                                                        ,"('Qais al-Khazaili', 'Asaib Ahl al-Haq')"
0.1531                ,launch                                                        ,"('Qais al-Khazaili', 'Ressaliun Brigades')"
0.4215                ,                                                              ,"('Sadr', 'Daesh')"
0.4215                ,                                                              ,"('Sadr', 'IS')"
0.4215                ,                                                              ,"('Sadr', 'Iraq')"
-0.8402               ,say                                                           ,"('Sadr', 'MEE')"
-0.7198               ,"work,say,receive"                                            ,"('Sadr', 'Mosul')"
-0.5994               ,"work,receive"                                                ,"('Sadr', 'the Iraqi Army')"
0.5106                ,do                                                            ,"('Shahmani', 'the Mahdi Army')"
0.0                   ,"attend,treat"                                                ,"('Soleimani', 'Iraq')"
0.3182                ,add                                                           ,"('Supreme Court', 'Abadi')"
0.3182                ,add                                                           ,"('Supreme Court', 'Maliki')"
0.3612                ,"listen,say,call"                                             ,"('Tehran', 'Baghdad')"
0.3612                ,"listen,say,call"                                             ,"('The United States', 'Baghdad')"
0.0772                ,"want,organize"                                               ,"('Trump', 'Iran')"
0.6478                ,"weaken,leave"                                                ,"('Trump', 'Macron')"
0.6478                ,"weaken,leave"                                                ,"('Trump', 'Paris')"
0.0258                ,"dismantle,govern,try"                                        ,"('the United Nations', 'Trump')"
0.0                   ,",do,provide"                                                 ,"('the United States', 'Iran')"
0.1796333333333333    ,",follow,give,fight,talk,use,say,become"                      ,"('the United States', 'Iraq')"
-0.1779               ,"lead,say"                                                    ,"('the United States', 'Mosul')"
0.0                   ,                                                              ,"('the United States', 'Quds Force')"
-0.3612               ,"fight,give"                                                  ,"('the United States', 'Soleimani')"
